"id" "num_banks" "num_people" "density"
"1" "Abruzzo" 669 1333939 0.000501522183548123
"2" "Apulia" 1267 4090266 0.000309759805352513
"3" "Basilicata" 214 578391 0.000369991925877132
"4" "Calabria" 410 1980533 0.000207014980310856
"5" "Campania" 1585 5869965 0.000270018645767053
"6" "Emilia-Romagna" 2418 4446354 0.000543816349305521
"7" "Friuli-Venezia Giulia" 608 1229363 0.000494565071504511
"8" "Lazio" 2844 5870451 0.000484460222902806
"9" "Liguria" 747 1591939 0.000469239085165952
"10" "Lombardia" 3912 9973397 0.000392243485344061
"11" "Marche" 902 1553138 0.000580759726437702
"12" "Molise" 201 314725 0.000638652792120105
"13" "Piemonte" 2398 4436798 0.000540479868589916
"14" "Sardegna" 718 1663859 0.000431526950300476
"15" "Sicily" 2146 5094937 0.000421202460403338
"16" "Toscana" 2180 3750511 0.000581254127770856
"17" "Trentino-Alto Adige" 339 1229363 0.000275752564539522
"18" "Umbria" 745 896742 0.000830785220275174
"19" "Valle d'Aosta" 116 128591 0.000902084904853372
"20" "Veneto" 2818 4926818 0.000571971605202384
